Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
375,68.053,-20.0,-20.0,1.0,5.4818,0.0,-0.055
376,88.053,20.0,20.0,-1.0,3.6507,0.0,-0.005
377,68.053,-20.0,-20.0,-1.0,5.5953,0.0,-0.005
378,48.053,-20.0,-20.0,1.0,7.0244,0.0,-0.055
379,28.053,-20.0,-20.0,1.0,9.0948,0.0,-0.055
380,8.053,-20.0,-20.0,1.0,10.5758,0.0,-0.055
381,0.0,-20.0,-20.0,1.0,12.0949,0.0,9.945
382,20.0,20.0,20.0,1.0,1.1794,0.0,-0.055
383,0.0,-20.0,-20.0,1.0,1.6127,0.0,-0.055
384,0.0,-20.0,-20.0,-1.0,1.5982,0.0,-0.005
385,20.0,20.0,20.0,1.0,1.0203,0.0,-0.055
386,3.037,-16.963,-16.963,-1.0,1.4743,0.0,-0.005
387,23.037,20.0,20.0,-0.8,1.3802,0.0,-0.005
388,3.037,-20.0,-20.0,1.0,1.4651,0.0,-0.055
389,0.0,-6.441,-6.441,1.0,1.7435,0.0,-0.055
390,0.0,-20.0,-20.0,-1.0,1.6026,0.0,-0.005
391,20.0,20.0,20.0,1.0,1.3576,0.0,-0.055
392,0.0,-20.0,-20.0,-1.0,1.6528,0.0,-0.005
393,20.0,20.0,20.0,-1.0,0.9931,0.0,-0.005
394,40.0,20.0,20.0,-1.0,0.691,0.0,-0.005
395,20.0,-20.0,-20.0,-0.703,1.1635,0.0,-0.005
396,0.0,-20.0,-20.0,-1.0,1.6858,0.0,-0.005
397,0.0,-20.0,-20.0,1.0,1.4999,0.0,-0.055
398,0.0,-20.0,-20.0,-1.0,1.5735,0.0,-0.005
399,20.0,20.0,20.0,-1.0,1.1485,0.0,-0.005
400,0.0,-20.0,-20.0,1.0,1.6503,0.0,-0.055
401,20.0,20.0,20.0,-1.0,1.3475,0.0,-0.005
402,0.0,-20.0,-20.0,-1.0,1.7258,0.0,-0.005
